model,feature,n_seeds,f1,f1_std,mcc,mcc_std,cohen_kappa,cohen_kappa_std,seeds
DenseNet-121,raw image,3,0.974,0.002,0.9744,0.002,0.9743,0.002,40;41;42
ResNet-18,raw image,3,0.9683,0.0009,0.9703,0.0014,0.9703,0.0014,40;41;42
EfficientNetV2-S,raw image,3,0.9472,0.0069,0.9524,0.0067,0.9524,0.0067,40;41;42
Two-stage DenseNet-121,raw image,3,0.9453,0.0041,0.9291,0.006,0.9276,0.0063,40;41;42
MLR,colour+texture histograms,3,0.9709,0.0003,0.9692,0.0005,0.9692,0.0005,40;41;42
rNN,pHash,3,0.9552,0.0008,0.9416,0.0011,0.9408,0.0012,40;41;42
rNN,DenseNet embedding,3,0.9735,0.0006,0.9687,0.0018,0.9685,0.0019,40;41;42
rNN,ORB feature matching,3,0.9171,0.0011,0.8861,0.0016,0.8817,0.0017,40;41;42
Sparse Matching,raw image,3,0.7188,0.0021,0.7045,0.0023,0.6897,0.0024,40;41;42
DBSCAN (Zannettou et al.),pHash,3,0.6736,0.003,0.7277,0.0024,0.7277,0.0024,40;41;42
UMAP+HDBSCAN,pHash,3,0.905,0.0012,0.9123,0.0012,0.9123,0.0012,40;41;42
UMAP+HDBSCAN,CLIP embedding,3,0.6501,0.0038,0.6764,0.0016,0.6763,0.0016,40;41;42
PCA+HDBSCAN (ours),fused SigLIP2 + DINOv2,3,0.9281,0.0018,0.9402,0.0013,0.9402,0.0013,40;41;42
GPT-5.6 Luna,raw image + template inventory,3,0.968,0.0022,0.9631,0.0024,0.9631,0.0024,40;41;42
